# x,y,label
-278,146,0
-219,207,0
-135,243,0
-52,250,0
33,241,0
121,219,0
196,161,0
216,90,0
222,4,0
217,-59,0
192,-123,0
162,-156,0
89,-189,0
-42,-198,0
-141,-178,0
-222,-123,0
-216,33,0
-182,87,0
-110,131,0
-50,142,0
6,131,0
50,107,0
85,66,0
96,28,0
94,-19,0
60,-70,0
15,-100,0
-51,-106,0
-99,-82,0
-125,-36,0
-106,25,0
-67,45,0
-28,46,0
0,27,0
7,-8,0
-46,-1,1
-57,-32,1
-15,-61,1
46,-38,1
57,14,1
31,57,1
-18,82,1
-142,45,1
-178,2,1
-175,-72,1
-139,-105,1
69,-137,1
117,-112,1
157,-33,1
157,23,1
143,80,1
128,130,1
8,187,1
-48,192,1
-205,147,1
-306,1,1
-312,-64,1
-314,-125,1
-294,-170,1
-271,-209,1
-194,-241,1
-110,-261,1
110,-265,1
193,-254,1
238,-221,1
289,-163,1
305,-72,1
306,6,1
303,88,1
286,158,1
249,238,1
211,264,1
127,289,1
42,291,1
-66,295,1
-135,288,1
-216,271,1
-291,228,1
4,6,0
-12,42,0
-43,41,0
-87,35,0
-107,2,0
-121,-18,0
-118,-49,0
-111,-72,0
-62,-97,0
-24,-97,0
4,-98,0
42,-81,0
82,-59,0
93,-42,0
107,-6,0
109,23,0
96,55,0
84,86,0
75,105,0
55,124,0
37,135,0
11,142,0
-25,150,0
-59,154,0
-85,154,0
-121,135,0
-147,125,0
-178,105,0
-204,89,0
-218,68,0
-230,44,0
-233,32,0
-238,10,0
-239,-7,0
-246,-28,0
-239,-38,0
-241,-61,0
-237,-72,0
-231,-92,0
-225,-105,0
-207,-130,0
-189,-153,0
-177,-160,0
-164,-166,0
-120,-181,0
-98,-186,0
-84,-189,0
-68,-192,0
-22,-199,0
0,-199,0
25,-199,0
46,-198,0
62,-198,0
104,-180,0
146,-168,0
131,-176,0
178,-140,0
198,-97,0
207,-78,0
220,-20,0
221,-33,0
221,30,0
223,43,0
222,67,0
210,108,0
209,119,0
203,140,0
178,171,0
173,182,0
161,191,0
148,201,0
110,223,0
93,230,0
82,233,0
61,237,0
50,240,0
-27,246,0
-9,249,0
6,247,0
-79,250,0
-98,247,0
-118,246,0
-154,235,0
-177,234,0
-194,221,0
-231,198,0
-246,188,0
-256,179,0
-263,168,0
-50,-16,1
-37,-49,1
-36,-36,1
-1,-56,1
31,-54,1
58,-20,1
61,-9,1
49,35,1
13,65,1
-7,80,1
-35,94,1
-55,94,1
-78,95,1
-101,76,1
-265,94,1
-282,63,1
-290,39,1
-295,22,1
-313,-30,1
-314,-94,1
-298,-140,1
-275,-162,1
-263,-183,1
-251,-192,1
-230,-210,1
-197,-218,1
-170,-226,1
-142,-236,1
-112,-243,1
-83,-251,1
-63,-253,1
-41,-253,1
22,-259,1
51,-261,1
-25,-255,1
2,-254,1
-10,-254,1
82,-260,1
62,-259,1
126,-254,1
153,-260,1
166,-251,1
207,-240,1
215,-228,1
235,-196,1
252,-183,1
263,-171,1
273,-154,1
282,-128,1
298,-48,1
287,-87,1
283,-105,1
280,-58,1
290,-30,1
290,-13,1
287,11,1
286,25,1
286,39,1
286,52,1
286,81,1
283,98,1
280,120,1
270,144,1
264,157,1
257,177,1
250,192,1
238,213,1
231,225,1
215,236,1
201,250,1
179,265,1
156,274,1
140,281,1
53,291,1
76,290,1
94,290,1
108,287,1
-18,292,1
-55,289,1
-34,285,1
9,286,1
26,286,1
-1,289,1
-78,287,1
-119,284,1
-94,289,1
-175,278,1
-195,272,1
-151,281,1
-163,279,1
-235,257,1
-246,254,1
-277,239,1
-260,248,1
-291,217,1
-225,132,1
-253,120,1
-245,138,1
-199,168,1
-183,181,1
-168,189,1
-80,201,1
-64,201,1
-102,204,1
-122,201,1
-133,197,1
-149,195,1
-43,204,1
1,203,1
-12,194,1
-27,195,1
26,192,1
41,192,1
68,186,1
57,190,1
100,170,1
121,147,1
120,164,1
86,177,1
143,127,1
155,96,1
159,114,1
163,82,1
165,56,1
166,45,1
171,25,1
170,1,1
168,-12,1
138,-50,1
160,-55,1
137,-88,1
143,-72,1
121,-77,1
112,-88,1
95,-102,1
87,-120,1
66,-116,1
50,-130,1
19,-145,1
30,-126,1
47,-149,1
3,-123,1
-4,-140,1
-35,-138,1
-54,-125,1
-61,-141,1
-89,-131,1
-98,-117,1
-117,-128,1
-126,-102,1
-163,-101,1
-154,-82,1
-171,-59,1
-157,-47,1
-177,-34,1
-174,-14,1
-154,6,1
-174,32,1
-155,46,1
-141,69,1
-64,76,1
-40,76,1
-85,79,1
-104,91,1
-121,81,1
-124,55,1
-11,-36,1
10,-37,1
31,-22,1
44,-9,1
